ID,Answer
0,劍
1,諸羅縣志
2,袁晁率起義軍
3,柏林陸軍學院
4,長盤
5,孫銘武
6,1874年
7,西漢的版圖向西擴張
8,英國
9,醜化對方
10,周星馳
11,秀吉
12,無障礙環境
13,anticipation，即預測
14,2007年
15,硫化氫
16,
17,
18,經濟
19,密度
20,愛爾蘭語
21,荷蘭
22,硫磺
23,塞爾維亞反對黨
24,1861年
25,皇帝體系的維持主要是憑藉著外交活動，拜占庭政府中的蠻族事務局，可以說是史上第一個處理外交事務的中央單位，藉由收集帝國內部民族的重要消息來提供正確的外交決策判斷
26,拉丁文
27,路加
28,1964年
29,爾德
30,文化大革命
31,名人傳
32,灣仔
33,稍貪東
34,約翰·布蘭豪
35,第2屆
36,新北市
37,小白宮
38,沒有
39,南人
40,南宋
41,四千名
42,
43,1070年
44,社會保障法規
45,天使路
46,1930年
47,東德喜劇系列
48,1932年
49,大型購物中心[UNK]開幕
50,嘉靖帝
51,武漢水利電力大學
52,1962年
53,亞歷山大一世被刺殺
54,哈拉
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市
59,愛心聖誕大行動
60,勃艮第公爵
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,沒能取得勝利
66,李宗仁
67,東漢
68,噴射發動機
69,弘治十二年
70,
71,1984年
72,美國、英國
73,氦
74,聖方濟·沙勿略
75,交通運輸部
76,
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,西漢元封二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,非爆炸性反應式裝甲
93,大躍進
94,武漢水利電力大學
95,
96,1934年
97,檸檬酸咖啡因療法
98,莫萊-明托改革
99,1949年
100,大象
101,1915年
102,1600年
103,母細胞
104,美國
105,加里恩努斯
106,
107,十個
108,佛學論書
109,北海道帝國大學
110,歐登堡
111,三天
112,1944年
113,安娜·德·薩伏伊皇后
114,巴夏禮
115,哈林河
116,孟加拉
117,指揮家
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,全國人民代表大會
122,伊斯蘭王國
123,周一良，另一位是?[SEP]，因此這個說法未得到學界一致認同。陳寅恪
124,高句麗安藏王被刺殺後，其兄安原王繼位。在安原王時期，王室間的紛爭加劇。兩政治集團對王位繼承進行爭鬥，最後年僅8歲的陽原王
125,致使對喃字的發展影響有限
126,瑞派克路
127,1939年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國。故此，他決定於西線調派多一些兵力到東線上應付俄軍，此決定令德軍於西線的進攻上遇到更多困難
129,福建林家
130,它是用來運貨
131,公民權
132,西人黨
133,2013年
134,臺北
135,東南亞南島民族
136,杭縣
137,蘇聯國旗
138,蘇黎世協定
139,1939年，二戰爆發。保羅親王害怕軸心國攻打南斯拉夫，於是在1941年
140,大戰期間，全國的科學家與工程學家聚集在1940年成立的麻省理工放射實驗室，協助英國軍方發展多腔磁控管雷達技術
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,喬治麥高文
146,水鐘
147,上海電報局總辦經元善領銜通電要求光緒皇帝「力疾臨御，勿存退位之思
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1949年
153,蘇聯政府拒絕干涉
154,清光緒十七年
155,雕像
156,國共內戰戰況失利
157,65000平方公里
158,乙醚
159,藥葛羅
160,卡爾梅克人
161,1969年初
162,63位
163,天主教阿爾巴諾羅馬城郊教區主教
164,古希臘時代
165,斯瓦希里語
166,填海
167,汪兆銘
168,農業
169,[UNK]是一種處理網頁的手稿語言。其標準版本是[UNK]，由網景通訊公司
170,8月4日
171,1999年
172,《天淨沙》
173,二次大戰
174,北魏正光元年
175,趙佗
176,幾何學被普遍應用於土地測量，如「3、4、5」直角三角形等資料紀錄，代表著古時的埃及已發展出一個實質的幾何體系
177,岑智明
178,逼使法國投降
179,公元前362年
180,創建強力政府
181,28歲
182,2000年10月
183,保加利亞
184,優點：便利使用
185,10度
186,日本社會黨
187,亞非
188,波士頓
189,1992年
190,單手反拍
191,箱館裁判所
192,明朝
193,1863年
194,2000年
195,2012年
196,考古
197,1914年
198,森林
199,阿森納女子足球俱樂部
200,多黨制
201,
202,1920年
203,美元
204,多倫多
205,在列車前面拉動
206,彌爾
207,反貪污特警隊
208,艾瑪·史東
209,在時域上數學形式為連續函式的訊號
210,展現了生命力與流動性
211,亞歷山大一世
212,
213,熱帶，全市地勢均於海拔1000米以上的雲貴高原上，但也因同時受到其南部中南半島的海洋氣流影響，加上地理位置上正處在冬季於中國活躍的兩般高壓區之間的真空帶，故即使西雙版納全年固有清涼
214,新北市
215,聯盟合作
216,海上疆界劃定的爭端。其中中華人民共和國與中華民國認為早在1534年明朝以後，包括釣魚臺在內的島嶼早已經被中國所發現並且劃為中國管理的領土一部分；但之後由於1894年爆發的甲午戰爭
217,克孜勒
218,三分天災
219,好在歷史是人民寫的
220,美觀
221,中部科學園區
222,西部地區
223,1982年
224,1428年
225,部落最高領袖
226,斯洛伐克布拉迪斯拉發附近的多瑙河
227,國立廣東大學
228,美國發明家
229,2006年
230,
231,《人體器官移植條例》
232,1262年
233,鄭芝龍舊部郭懷一為領袖的漢族移民
234,三倍
235,自身的重力繼續向內坍縮
236,颱風
237,2014年
238,1968年
239,第六
240,
241,鋁土礦
242,現代化建築
243,阿美族
244,黑死病
245,2013年
